title,artist,url,mood,tempo,energy,valence
Happy Upbeat,Children's Music,https://open.spotify.com/track/5hAeKFwRB3Q3SvXhSLdyeF,happy,100.014,0.814,0.965
Happy Fun,Melodality,https://open.spotify.com/track/1yI97ZJvIWKmYo3fRjn8nH,happy,149.985,0.591,0.73
Energetic Upbeat Pop,Morninglightmusic,https://open.spotify.com/track/5KMj4vhaIhGx6vLKXc4iS8,happy,99.884,0.805,0.697
Happy Upbeat Ukulele,MaxKoMusic,https://open.spotify.com/track/4OSnO5vSvtgLS7jPd4cZV1,happy,102.492,0.802,0.927
Upbeat Energetic Fun Happy Kids,Gold-Tiger,https://open.spotify.com/track/7gJorz00NoHeeDA9oEPWyf,happy,162.993,0.89,0.936
Today Is My Day (Instrumental),Melodality,https://open.spotify.com/track/0o3a9AfFb7AqgrmDyvAOcU,happy,163.931,0.497,0.241
Upbeat Happy Tune,Melodality,https://open.spotify.com/track/0dWoABlhJXnVLQEyYVYJhF,happy,190.017,0.68,0.962
Happy,Melodality,https://open.spotify.com/track/0gFI87q1MekkkeHQKDch9o,happy,170.029,0.649,0.942
Happy Motion,Melodality,https://open.spotify.com/track/3Um99qVh7XvCXHDLrU6DTW,happy,170.059,0.9,0.654
Happy Inspiring Upbeat,Romansenykmusic,https://open.spotify.com/track/226YtfxXZuR8axr8REn5qO,happy,128.015,0.834,0.535
Your Upbeat Life,Melodality,https://open.spotify.com/track/0TAH3kHHqreWEr7tIf8gqf,happy,149.971,0.577,0.72
Exciting Life,Melodality,https://open.spotify.com/track/24zjn3gbuo8AL7Tph8DI8N,happy,179.952,0.667,0.877
Uplifting Upbeat Energetic Instrumental,Romansenykmusic,https://open.spotify.com/track/7oD4wW96RAo6PtDYbYr4R9,happy,139.992,0.912,0.729
Positive Jingle,Melodality,https://open.spotify.com/track/7IlkN9ArrxsNY39f4ULmFN,happy,104.952,0.862,0.411
Upbeat Fun,Morninglightmusic,https://open.spotify.com/track/7FkytZ6RxRfnFlSyKORbRE,happy,94.987,0.785,0.242
The Hit,Melodality,https://open.spotify.com/track/3GGCjA1V8FqIGkFQWHCMSP,happy,111.981,0.782,0.364
Upbeat and Inspiring Indie Rock,Morninglightmusic,https://open.spotify.com/track/6WqMQfMOzlgHBK71MbTlkn,happy,95.036,0.906,0.588
Upbeat Corporate Inspiration,Melodality,https://open.spotify.com/track/60zrnaizwQXx7kBS3JJuXo,happy,124.971,0.462,0.709
Feel It Still,Portugal. The Man,https://open.spotify.com/track/6Y2YQFazXCWnttUPmyB610,happy,79.088,0.797,0.758
Happy Upbeat Acoustic,AShamaluevMusic,https://open.spotify.com/track/3fewsAPeiojoXwPNyLxKW2,happy,120.025,0.908,0.847
Sad Melancholy Guitar Backing Track In E Minor,Tom Bailey Backing Tracks,https://open.spotify.com/track/1iC78U04YDfAExYJQxy9t3,sad,129.921,0.299,0.063
melanchole,salvia palth,https://open.spotify.com/track/2VsHhmtbDCHY6OcdPHDs0h,sad,81.799,0.294,0.0347
Sadness Fades - Strings Version,Harmony Night,https://open.spotify.com/track/6MWSwycr4UsmicwGFRrbxr,sad,126.034,0.0719,0.067
Melancholy,White Cherry,https://open.spotify.com/track/3DFhB4Sdjin9tPxPYf11Fh,sad,119.981,0.031,0.448
Sadness Fades,Harmony Night,https://open.spotify.com/track/2uh1ryqOg1PqV8YQOSFVfZ,sad,121.611,0.092,0.0669
Melancholy,DOUBLECAMP,https://open.spotify.com/track/1KF7in1Tx1G5JzIVFw8Frj,sad,76.029,0.733,0.597
Melancholy rain,Piece of Moonlight,https://open.spotify.com/track/6JWL6DXjKcis28TjfasE2z,sad,177.966,0.273,0.401
Melancholia,Ryan Creep,https://open.spotify.com/track/6SF5VOYJiqdedZDg8Merv5,sad,120.005,0.0474,0.159
Sad Sadness (Piano & Orchestra) - Melancholic Music Sentimental Emotional Instrumental Love Song,Sad Piano Music Instrumental Collective Australia,https://open.spotify.com/track/2UHv6ccJEtPQOlDVRMoHj2,sad,66.083,0.0273,0.174
Melancholy Man,The Moody Blues,https://open.spotify.com/track/1NeQzAqahRYI09bgLbhVFN,sad,132.454,0.434,0.388
Melancholy Life Is Sad,Melodrama,https://open.spotify.com/track/00aNuc6lcTOMXxmgmnxPYZ,sad,119.956,0.265,0.684
The Nature of Melancholy,Melodrama,https://open.spotify.com/track/7w52bbdrOWpBQK0cD0MBmn,sad,67.021,0.153,0.397
Mr. Melancholy,Anthony Amorim,https://open.spotify.com/track/1ekNBbLqCBmlw5gYubA5vk,sad,100.002,0.458,0.273
